EXECTIME 2 2 2 8 8525008
PARTITION 2 2 8 3952 1036
EXECTIME 2 2 2 9 8525008
EXECTIME 2 2 2 10 8525008
PARTITION 2 2 9 3981 1046
PARTITION 2 2 10 3997 1051
EXECTIME 2 2 2 11 8525008
PARTITION 2 2 11 3990 1049
EXECTIME 2 2 2 2 8525008
PARTITION 2 2 2 3911 1032
EXECTIME 2 2 2 0 8525008
EXECTIME 2 2 2 3 8525056
EXECTIME 2 2 2 4 8525008
EXECTIME 2 2 2 7 8525008
PARTITION 2 2 7 3928 1035
PARTITION 2 2 0 3914 1033
PARTITION 2 2 4 3934 1035
PARTITION 2 2 3 3938 1036
EXECTIME 2 2 2 1 8525056
EXECTIME 2 2 2 6 8525008
EXECTIME 2 2 2 5 8525008
PARTITION 2 2 6 3943 1036
PARTITION 2 2 1 3912 1033
PARTITION 2 2 5 3912 1033
