EXECTIME 4 1 1 4 8525008
EXECTIME 4 1 1 6 8525008
EXECTIME 4 1 1 7 8525008
EXECTIME 4 1 1 11 8525008
PARTITION 4 1 6 26504 3373
EXECTIME 4 1 1 10 8525008
EXECTIME 4 1 1 8 8525008
EXECTIME 4 1 1 2 8525008
PARTITION 4 1 10 26503 3373
EXECTIME 4 1 1 5 8525008
EXECTIME 4 1 1 1 8525056
EXECTIME 4 1 1 9 8525008
PARTITION 4 1 4 26504 3373
EXECTIME 4 1 1 3 8525056
PARTITION 4 1 8 26503 3373
PARTITION 4 1 7 26504 3373
PARTITION 4 1 9 26503 3373
PARTITION 4 1 11 26503 3373
PARTITION 4 1 5 26504 3373
PARTITION 4 1 2 26504 3373
PARTITION 4 1 3 26504 3373
PARTITION 4 1 1 26504 3373
EXECTIME 4 1 1 0 8525008
PARTITION 4 1 0 26504 3373
