EXECTIME 2 1 1 8 8525008
EXECTIME 2 1 1 10 8525008
EXECTIME 2 1 1 9 8525008
EXECTIME 2 1 1 4 8525008
EXECTIME 2 1 1 5 8525008
EXECTIME 2 1 1 1 8525056
EXECTIME 2 1 1 11 8525008
EXECTIME 2 1 1 7 8525008
EXECTIME 2 1 1 6 8525008
EXECTIME 2 1 1 3 8525056
PARTITION 2 1 6 3943 1036
EXECTIME 2 1 1 2 8525008
PARTITION 2 1 8 3942 1036
EXECTIME 2 1 1 0 8525008
PARTITION 2 1 10 3942 1036
PARTITION 2 1 9 3942 1036
PARTITION 2 1 0 3943 1036
PARTITION 2 1 4 3943 1036
PARTITION 2 1 5 3943 1036
PARTITION 2 1 1 3943 1036
PARTITION 2 1 11 3942 1036
PARTITION 2 1 7 3943 1036
PARTITION 2 1 3 3943 1036
PARTITION 2 1 2 3943 1036
