EXECTIME 4 3 1 10 8525008
EXECTIME 4 3 1 11 8525008
EXECTIME 4 3 1 3 8525056
PARTITION 4 3 11 26104 3317
EXECTIME 4 3 1 9 8525008
EXECTIME 4 3 1 2 8525008
EXECTIME 4 3 1 8 8525008
EXECTIME 4 3 1 4 8525008
EXECTIME 4 3 1 7 8525008
EXECTIME 4 3 1 6 8525008
EXECTIME 4 3 1 1 8525104
EXECTIME 4 3 1 5 8525008
PARTITION 4 3 10 25633 3254
PARTITION 4 3 3 27154 3446
PARTITION 4 3 9 26385 3357
PARTITION 4 3 2 27153 3445
PARTITION 4 3 8 25213 3203
PARTITION 4 3 4 27154 3446
PARTITION 4 3 6 25629 3252
PARTITION 4 3 1 27155 3446
PARTITION 4 3 7 26158 3324
PARTITION 4 3 5 27152 3445
EXECTIME 4 3 1 0 8525008
PARTITION 4 3 0 27154 3446
