EXECTIME 2 1 2 1 0
PARTITION 2 1 1 5257 1272
COMMUNICATION 2 1 1 9 8 0 5257 7981 10512 1 2652 5255
COMMUNICATION 2 1 1 9 8 1 5259 7908 10511 10514 13178 15770
COMMUNICATION 2 1 1 9 8 2 5257 7857 10513 15771 18419 21025
COMMUNICATION 2 1 1 9 8 3 5260 7854 10513 21028 23653 26283
COMMUNICATION 2 1 1 9 8 4 5258 7883 10511 26285 28948 31541
COMMUNICATION 2 1 1 9 8 5 5257 7844 10513 31542 34177 36798
COMMUNICATION 2 1 1 9 8 6 5258 7884 10511 36800 39401 42054
COMMUNICATION 2 1 1 9 8 7 5257 7891 10513 42056 44721 47311
EXECTIME 4 1 2 1 0
PARTITION 4 1 1 35339 4473
COMMUNICATION 4 1 1 9 8 0 35340 52837 70677 2 17535 35338
COMMUNICATION 4 1 1 9 8 1 35339 53193 70675 70678 88487 106014
COMMUNICATION 4 1 1 9 8 2 35343 52910 70677 106017 123747 141353
COMMUNICATION 4 1 1 9 8 3 35342 52974 70677 141356 159026 176691
COMMUNICATION 4 1 1 9 8 4 35341 53077 70677 176692 194348 212028
COMMUNICATION 4 1 1 9 8 5 35339 52992 70677 212030 229698 247367
COMMUNICATION 4 1 1 9 8 6 35339 53133 70676 247368 264996 282704
COMMUNICATION 4 1 1 9 8 7 35340 53013 70673 282707 300431 318040
EXECTIME 2 2 1 1 0
PARTITION 2 2 1 5274 925
COMMUNICATION 2 2 1 9 6 0 124 23227 47243 43 22703 47188
COMMUNICATION 2 2 1 9 6 1 179 23475 47268 69 23168 46212
COMMUNICATION 2 2 1 9 6 2 53 22875 46765 212 23577 46688
COMMUNICATION 2 2 1 9 6 3 198 26717 47209 398 23671 47253
COMMUNICATION 2 2 1 9 6 4 134 25246 47141 207 22471 46778
COMMUNICATION 2 2 1 9 6 5 472 26031 47268 128 23162 46956
EXECTIME 4 2 1 1 1
PARTITION 4 2 1 35336 6491
COMMUNICATION 4 2 1 9 6 0 533 163516 317985 104 155891 317436
COMMUNICATION 4 2 1 9 6 1 36 156542 317552 89 165132 318001
COMMUNICATION 4 2 1 9 6 2 437 163190 317521 4518 159383 317638
COMMUNICATION 4 2 1 9 6 3 875 147492 317954 2722 163789 317781
COMMUNICATION 4 2 1 9 6 4 261 170697 317977 1782 132984 316224
COMMUNICATION 4 2 1 9 6 5 15364 172235 311950 4165 145725 310737
