EXECTIME 2 1 2 0 0
PARTITION 2 1 0 5257 1345
COMMUNICATION 2 1 0 9 8 0 1 2652 5255 5257 7981 10512
COMMUNICATION 2 1 0 9 8 1 0 2662 5256 10514 13116 15770
COMMUNICATION 2 1 0 9 8 2 0 2656 5255 15771 18368 21027
COMMUNICATION 2 1 0 9 8 3 0 2628 5256 21030 23627 26284
COMMUNICATION 2 1 0 9 8 4 2 2706 5255 26286 28912 31538
COMMUNICATION 2 1 0 9 8 5 0 2598 5256 31543 34174 36798
COMMUNICATION 2 1 0 9 8 6 0 2665 5256 36800 39437 42052
COMMUNICATION 2 1 0 9 8 7 1 2591 5256 42066 44642 47311
EXECTIME 4 1 2 0 0
PARTITION 4 1 0 35339 4440
COMMUNICATION 4 1 0 9 8 0 2 17535 35338 35340 52837 70677
COMMUNICATION 4 1 0 9 8 1 0 17746 35338 70679 88283 106015
COMMUNICATION 4 1 0 9 8 2 0 17582 35337 106016 123755 141351
COMMUNICATION 4 1 0 9 8 3 1 17685 35337 141354 158981 176690
COMMUNICATION 4 1 0 9 8 4 0 17696 35336 176694 194439 212027
COMMUNICATION 4 1 0 9 8 5 1 17886 35338 212031 229750 247367
COMMUNICATION 4 1 0 9 8 6 0 17566 35335 247369 265171 282705
COMMUNICATION 4 1 0 9 8 7 0 17772 35338 282709 300493 318042
EXECTIME 2 2 1 0 0
PARTITION 2 2 0 5266 1177
COMMUNICATION 2 2 0 9 4 0 43 22703 47188 124 23227 47243
COMMUNICATION 2 2 0 9 4 1 26732 26732 33331 13571 13571 25904
COMMUNICATION 2 2 0 9 4 2 186 24468 47216 14 21918 46881
COMMUNICATION 2 2 0 9 4 3 542 26732 46876 1490 32592 47028
EXECTIME 4 2 1 0 1
PARTITION 4 2 0 35327 6286
COMMUNICATION 4 2 0 9 4 0 104 155891 317436 533 163516 317985
COMMUNICATION 4 2 0 9 4 1 20 167087 317694 23 160902 316654
COMMUNICATION 4 2 0 9 4 2 547 148641 317697 1217 145091 316010
COMMUNICATION 4 2 0 9 4 3 192 160021 314933 442 175649 317083
